num,lon,lat
887,-48.875,-16.875
888,-48.625,-16.875
889,-48.375,-16.875
890,-48.125,-16.875
891,-47.875,-16.875
892,-47.625,-16.875
893,-47.375,-16.875
894,-47.125,-16.875
895,-46.875,-16.875
896,-46.625,-16.875
897,-46.375,-16.875
898,-46.125,-16.875
899,-45.875,-16.875
900,-45.375,-16.875
901,-45.125,-16.875
902,-54.875,-17.125
903,-54.625,-17.125
904,-54.375,-17.125
905,-54.125,-17.125
906,-53.875,-17.125
907,-53.625,-17.125
908,-53.375,-17.125
909,-53.125,-17.125
910,-52.875,-17.125
911,-51.875,-17.125
912,-51.625,-17.125
913,-51.375,-17.125
914,-51.125,-17.125
915,-50.875,-17.125
916,-50.625,-17.125
917,-50.375,-17.125
918,-50.125,-17.125
919,-49.875,-17.125
920,-49.625,-17.125
921,-49.375,-17.125
922,-49.125,-17.125
923,-48.875,-17.125
924,-48.625,-17.125
925,-48.375,-17.125
926,-48.125,-17.125
927,-47.875,-17.125
928,-47.625,-17.125
929,-47.375,-17.125
930,-47.125,-17.125
931,-46.875,-17.125
932,-46.625,-17.125
933,-46.375,-17.125
934,-46.125,-17.125
935,-45.625,-17.125
936,-54.875,-17.375
937,-54.625,-17.375
938,-54.375,-17.375
939,-54.125,-17.375
940,-53.375,-17.375
941,-53.125,-17.375
942,-52.875,-17.375
943,-52.625,-17.375
944,-52.375,-17.375
945,-52.125,-17.375
946,-51.875,-17.375
947,-51.625,-17.375
948,-51.375,-17.375
949,-51.125,-17.375
950,-50.875,-17.375
951,-50.625,-17.375
952,-50.375,-17.375
953,-50.125,-17.375
954,-49.875,-17.375
955,-49.625,-17.375
956,-49.375,-17.375
957,-49.125,-17.375
958,-48.875,-17.375
959,-48.625,-17.375
960,-48.375,-17.375
961,-48.125,-17.375
962,-47.875,-17.375
963,-47.625,-17.375
964,-47.375,-17.375
965,-47.125,-17.375
966,-46.875,-17.375
967,-46.625,-17.375
968,-46.375,-17.375
969,-46.125,-17.375
970,-45.875,-17.375
971,-45.375,-17.375
972,-54.875,-17.625
973,-54.625,-17.625
974,-54.375,-17.625
975,-54.125,-17.625
976,-53.625,-17.625
977,-53.375,-17.625
978,-53.125,-17.625
979,-52.875,-17.625
980,-52.625,-17.625
981,-52.375,-17.625
982,-52.125,-17.625
983,-51.875,-17.625
984,-51.625,-17.625
985,-51.375,-17.625
986,-51.125,-17.625
987,-50.875,-17.625
988,-50.625,-17.625
989,-50.375,-17.625
990,-50.125,-17.625
991,-49.875,-17.625
992,-49.625,-17.625
993,-49.375,-17.625
994,-49.125,-17.625
995,-48.875,-17.625
996,-48.625,-17.625
997,-48.375,-17.625
998,-48.125,-17.625
999,-47.875,-17.625
1000,-47.625,-17.625
1001,-47.375,-17.625
1002,-47.125,-17.625
1003,-46.875,-17.625
1004,-46.625,-17.625
1005,-46.375,-17.625
1006,-54.875,-17.875
1007,-54.625,-17.875
1008,-54.125,-17.875
1009,-53.625,-17.875
1010,-53.375,-17.875
1011,-53.125,-17.875
1012,-52.875,-17.875
1013,-52.375,-17.875
1014,-52.125,-17.875
1015,-51.875,-17.875
1016,-51.625,-17.875
1017,-51.375,-17.875
1018,-51.125,-17.875
1019,-50.875,-17.875
1020,-50.625,-17.875
1021,-50.375,-17.875
1022,-50.125,-17.875
1023,-49.875,-17.875
1024,-49.625,-17.875
1025,-49.375,-17.875
1026,-49.125,-17.875
1027,-48.875,-17.875
1028,-48.625,-17.875
1029,-48.375,-17.875
1030,-48.125,-17.875
1031,-47.875,-17.875
1032,-47.625,-17.875
1033,-47.375,-17.875
1034,-47.125,-17.875
1035,-46.875,-17.875
1036,-46.625,-17.875
1037,-46.125,-17.875
1038,-45.875,-17.875
1039,-45.625,-17.875
1040,-45.375,-17.875
1041,-54.875,-18.125
1042,-54.625,-18.125
